# schema_version=cardbench.magic.rav-catalog.v1
# source=scryfall-api:e%3ARAV;unique=prints;order=set
# source_retrieved=2026-07-30
# expected_official_main_set_printing_count=306
# snapshot_sha256=1d511161958a6dc2c809e744d46c2bf8cb9854f03d7d5c34388c2b6b694ad267
# license=CardBench-authored manifest structure is MIT; card names and set identifiers are nominative interoperability facts; no card text, art, or source JSON is distributed.
# default_semantic_status=catalog-only:card-specific-rules-not-implemented
# columns=collector_number<TAB>name<TAB>semantic_status_override(optional)
29	Screeching Griffin	executable:RAV-SCREECHING-GRIFFIN
30	Seed Spark	executable:RAV-SEED-SPARK
31	Suppression Field	executable:RAV-SUPPRESSION-FIELD
32	Three Dreams	executable:RAV-THREE-DREAMS
33	Twilight Drover	executable:RAV-TWILIGHT-DROVER
34	Veteran Armorer	executable:RAV-VETERAN-ARMORER
35	Votary of the Conclave	executable:RAV-VOTARY-OF-THE-CONCLAVE
36	Wojek Apothecary	executable:RAV-WOJEK-APOTHECARY
37	Wojek Siren	executable:RAV-WOJEK-SIREN
38	Belltower Sphinx	executable:RAV-BELLTOWER-SPHINX
39	Cerulean Sphinx	executable:RAV-CERULEAN-SPHINX
40	Compulsive Research	executable:RAV-COMPULSIVE-RESEARCH
41	Convolute	executable:RAV-CONVOLUTE
42	Copy Enchantment	executable:RAV-COPY-ENCHANTMENT
43	Dizzy Spell	executable:RAV-DIZZY-SPELL
44	Drake Familiar	executable:RAV-DRAKE-FAMILIAR
45	Dream Leash	executable:RAV-DREAM-LEASH
46	Drift of Phantasms	executable:RAV-DRIFT-OF-PHANTASMS
47	Ethereal Usher	executable:RAV-ETHEREAL-USHER
48	Eye of the Storm	executable:RAV-EYE-OF-THE-STORM
49	Flight of Fancy	executable:RAV-FLIGHT-OF-FANCY
50	Flow of Ideas	executable:RAV-FLOW-OF-IDEAS
51	Followed Footsteps	executable:RAV-FOLLOWED-FOOTSTEPS
52	Grayscaled Gharial	executable:RAV-GRAYSCALED-GHARIAL
53	Grozoth	executable:RAV-GROZOTH
54	Halcyon Glaze	executable:RAV-HALCYON-GLAZE
55	Hunted Phantasm	executable:RAV-HUNTED-PHANTASM
56	Induce Paranoia	executable:RAV-INDUCE-PARANOIA
57	Lore Broker	executable:RAV-LORE-BROKER
58	Mark of Eviction	executable:RAV-MARK-OF-EVICTION
59	Mnemonic Nexus	executable:RAV-MNEMONIC-NEXUS
60	Muddle the Mixture	executable:RAV-MUDDLE-THE-MIXTURE
61	Peel from Reality	executable:RAV-PEEL-FROM-REALITY
62	Quickchange	executable:RAV-QUICKCHANGE
63	Remand	executable:RAV-REMAND
64	Snapping Drake	executable:RAV-SNAPPING-DRAKE
65	Spawnbroker	executable:RAV-SPAWNBROKER
66	Stasis Cell	executable:RAV-STASIS-CELL
67	Surveilling Sprite	executable:RAV-SURVEILLING-SPRITE
68	Tattered Drake	executable:RAV-TATTERED-DRAKE
69	Telling Time	executable:RAV-TELLING-TIME
70	Terraformer	executable:RAV-TERRAFORMER
71	Tidewater Minion	executable:RAV-TIDEWATER-MINION
72	Tunnel Vision	executable:RAV-TUNNEL-VISION
73	Vedalken Dismisser	executable:RAV-VEDALKEN-DISMISSER
74	Vedalken Entrancer	executable:RAV-VEDALKEN-ENTRANCER
75	Wizened Snitches	executable:RAV-WIZENED-SNITCHES
76	Zephyr Spirit	executable:RAV-ZEPHYR-SPIRIT
77	Blood Funnel	executable:RAV-BLOOD-FUNNEL
78	Brainspoil	executable:RAV-BRAINSPOIL
79	Carrion Howler	executable:RAV-CARRION-HOWLER
80	Clinging Darkness	executable:RAV-CLINGING-DARKNESS
81	Dark Confidant	executable:RAV-DARK-CONFIDANT
82	Darkblast	executable:RAV-DARKBLAST
83	Dimir House Guard	executable:RAV-DIMIR-HOUSE-GUARD
84	Dimir Machinations	executable:RAV-DIMIR-MACHINATIONS
85	Disembowel	executable:RAV-DISEMBOWEL
86	Empty the Catacombs	executable:RAV-EMPTY-THE-CATACOMBS
87	Golgari Thug	executable:RAV-GOLGARI-THUG
88	Helldozer	executable:RAV-HELLDOZER
89	Hex	executable:RAV-HEX
90	Hunted Horror	executable:RAV-HUNTED-HORROR
91	Infectious Host	executable:RAV-INFECTIOUS-HOST
92	Keening Banshee	executable:RAV-KEENING-BANSHEE
93	Last Gasp	executable:RAV-LAST-GASP
94	Mausoleum Turnkey	executable:RAV-MAUSOLEUM-TURNKEY
95	Moonlight Bargain	executable:RAV-MOONLIGHT-BARGAIN
96	Mortipede	executable:RAV-MORTIPEDE
97	Necromantic Thirst	executable:RAV-NECROMANTIC-THIRST
98	Necroplasm	executable:RAV-NECROPLASM
99	Netherborn Phalanx	executable:RAV-NETHERBORN-PHALANX
100	Nightmare Void	executable:RAV-NIGHTMARE-VOID
101	Ribbons of Night	executable:RAV-RIBBONS-OF-NIGHT
102	Roofstalker Wight	executable:RAV-ROOFSTALKER-WIGHT
103	Sadistic Augermage	executable:RAV-SADISTIC-AUGERMAGE
104	Sewerdreg	executable:RAV-SEWERDREG
105	Shred Memory	executable:RAV-SHRED-MEMORY
106	Sins of the Past	executable:RAV-SINS-OF-THE-PAST
107	Stinkweed Imp	executable:RAV-STINKWEED-IMP
108	Strands of Undeath	executable:RAV-STRANDS-OF-UNDEATH
109	Thoughtpicker Witch	executable:RAV-THOUGHTPICKER-WITCH
110	Undercity Shade	executable:RAV-UNDERCITY-SHADE
111	Vigor Mortis	executable:RAV-VIGOR-MORTIS
112	Vindictive Mob	executable:RAV-VINDICTIVE-MOB
113	Woebringer Demon	executable:RAV-WOEBRINGER-DEMON
114	Barbarian Riftcutter	executable:RAV-BARBARIAN-RIFTCUTTER
115	Blockbuster	executable:RAV-BLOCKBUSTER
116	Breath of Fury	executable:RAV-BREATH-OF-FURY
117	Char	executable:RAV-CHAR
118	Cleansing Beam	executable:RAV-CLEANSING-BEAM
119	Coalhauler Swine	executable:RAV-COALHAULER-SWINE
120	Dogpile	executable:RAV-DOGPILE
121	Excruciator	executable:RAV-EXCRUCIATOR
122	Fiery Conclusion	executable:RAV-FIERY-CONCLUSION
123	Flame Fusillade	executable:RAV-FLAME-FUSILLADE
124	Flash Conscription	executable:RAV-FLASH-CONSCRIPTION
125	Frenzied Goblin	executable:RAV-FRENZIED-GOBLIN
126	Galvanic Arc	executable:RAV-GALVANIC-ARC
127	Goblin Fire Fiend	executable:RAV-GOBLIN-FIRE-FIEND
128	Goblin Spelunkers	executable:RAV-GOBLIN-SPELUNKERS
129	Greater Forgeling	executable:RAV-GREATER-FORGELING
130	Hammerfist Giant	executable:RAV-HAMMERFIST-GIANT
131	Hunted Dragon	executable:RAV-HUNTED-DRAGON
132	Incite Hysteria	executable:RAV-INCITE-HYSTERIA
133	Indentured Oaf	executable:RAV-INDENTURED-OAF
134	Instill Furor	executable:RAV-INSTILL-FUROR
135	Mindmoil	executable:RAV-MINDMOIL
136	Molten Sentry	executable:RAV-MOLTEN-SENTRY
137	Ordruun Commando	executable:RAV-ORDRUUN-COMMANDO
138	Rain of Embers	executable:RAV-RAIN-OF-EMBERS
139	Reroute	executable:RAV-REROUTE
140	Sabertooth Alley Cat	executable:RAV-SABERTOOTH-ALLEY-CAT
141	Seismic Spike	executable:RAV-SEISMIC-SPIKE
142	Sell-Sword Brute	executable:RAV-SELL-SWORD-BRUTE
143	Smash	executable:RAV-SMASH
144	Sparkmage Apprentice	executable:RAV-SPARKMAGE-APPRENTICE
145	Stoneshaker Shaman	executable:RAV-STONESHAKER-SHAMAN
146	Surge of Zeal	executable:RAV-SURGE-OF-ZEAL
147	Torpid Moloch	executable:RAV-TORPID-MOLOCH
148	Viashino Fangtail	executable:RAV-VIASHINO-FANGTAIL
149	Viashino Slasher	executable:RAV-VIASHINO-SLASHER
150	Warp World	executable:RAV-WARP-WORLD
151	War-Torch Goblin	executable:RAV-WAR-TORCH-GOBLIN
152	Wojek Embermage	executable:RAV-WOJEK-EMBERMAGE
153	Birds of Paradise	executable:RAV-BIRDS-OF-PARADISE
154	Bramble Elemental	executable:RAV-BRAMBLE-ELEMENTAL
155	Carven Caryatid	executable:RAV-CARVEN-CARYATID
156	Chord of Calling	executable:RAV-CHORD-OF-CALLING
157	Civic Wayfinder	executable:RAV-CIVIC-WAYFINDER
158	Doubling Season	executable:RAV-DOUBLING-SEASON
159	Dowsing Shaman	executable:RAV-DOWSING-SHAMAN
160	Dryad's Caress	executable:RAV-DRYADS-CARESS
161	Elves of Deep Shadow	executable:RAV-ELVES-OF-DEEP-SHADOW
162	Elvish Skysweeper	executable:RAV-ELVISH-SKYSWEEPER
163	Farseek	executable:RAV-FARSEEK
164	Fists of Ironwood	executable:RAV-FISTS-OF-IRONWOOD
165	Gather Courage	executable:RAV-GATHER-COURAGE
166	Golgari Brownscale	executable:RAV-GOLGARI-BROWNSCALE
167	Golgari Grave-Troll	executable:RAV-GOLGARI-GRAVE-TROLL
168	Goliath Spider	executable:RAV-GOLIATH-SPIDER
169	Greater Mossdog	executable:RAV-GREATER-MOSSDOG
170	Hunted Troll	executable:RAV-HUNTED-TROLL
171	Ivy Dancer	executable:RAV-IVY-DANCER
172	Life from the Loam	executable:RAV-LIFE-FROM-THE-LOAM
173	Moldervine Cloak	executable:RAV-MOLDERVINE-CLOAK
174	Nullmage Shepherd	executable:RAV-NULLMAGE-SHEPHERD
175	Overwhelm	executable:RAV-OVERWHELM
176	Perilous Forays	executable:RAV-PERILOUS-FORAYS
177	Primordial Sage	executable:RAV-PRIMORDIAL-SAGE
178	Recollect	executable:RAV-RECOLLECT
179	Rolling Spoil	executable:RAV-ROLLING-SPOIL
180	Root-Kin Ally	executable:RAV-ROOT-KIN-ALLY
181	Scatter the Seeds	executable:RAV-SCATTER-THE-SEEDS
182	Scion of the Wild	executable:RAV-SCION-OF-THE-WILD
183	Siege Wurm	executable:RAV-SIEGE-WURM
184	Stone-Seeder Hierophant	executable:RAV-STONE-SEEDER-HIEROPHANT
185	Sundering Vitae	executable:RAV-SUNDERING-VITAE
186	Transluminant	executable:RAV-TRANSLUMINANT
187	Trophy Hunter	executable:RAV-TROPHY-HUNTER
188	Ursapine	executable:RAV-URSAPINE
189	Vinelasher Kudzu	executable:RAV-VINELASHER-KUDZU
190	Agrus Kos, Wojek Veteran	executable:RAV-AGRUS-KOS-WOJEK-VETERAN
191	Autochthon Wurm	executable:RAV-AUTOCHTHON-WURM
192	Bloodbond March	executable:RAV-BLOODBOND-MARCH
193	Boros Swiftblade	executable:RAV-BOROS-SWIFTBLADE
194	Brightflame	executable:RAV-BRIGHTFLAME
195	Chorus of the Conclave	executable:RAV-CHORUS-OF-THE-CONCLAVE
196	Circu, Dimir Lobotomist	executable:RAV-CIRCU-DIMIR-LOBOTOMIST
197	Clutch of the Undercity	executable:RAV-CLUTCH-OF-THE-UNDERCITY
198	Congregation at Dawn	executable:RAV-CONGREGATION-AT-DAWN
199	Consult the Necrosages	executable:RAV-CONSULT-THE-NECROSAGES
200	Dark Heart of the Wood	executable:RAV-DARK-HEART-OF-THE-WOOD
201	Dimir Cutpurse	executable:RAV-DIMIR-CUTPURSE
202	Dimir Doppelganger	executable:RAV-DIMIR-DOPPELGANGER
203	Dimir Infiltrator	executable:RAV-DIMIR-INFILTRATOR
204	Drooling Groodion	executable:RAV-DROOLING-GROODION
205	Firemane Angel	executable:RAV-FIREMANE-ANGEL
206	Flame-Kin Zealot	executable:RAV-FLAME-KIN-ZEALOT
207	Glare of Subdual	executable:RAV-GLARE-OF-SUBDUAL
208	Glimpse the Unthinkable	executable:RAV-GLIMPSE-THE-UNTHINKABLE
209	Golgari Germination	executable:RAV-GOLGARI-GERMINATION
210	Golgari Rotwurm	executable:RAV-GOLGARI-ROTWURM
211	Grave-Shell Scarab	executable:RAV-GRAVE-SHELL-SCARAB
212	Guardian of Vitu-Ghazi	executable:RAV-GUARDIAN-OF-VITU-GHAZI
213	Lightning Helix	executable:RAV-LIGHTNING-HELIX
214	Loxodon Hierarch	executable:RAV-LOXODON-HIERARCH
215	Mindleech Mass	executable:RAV-MINDLEECH-MASS
216	Moroii	executable:RAV-MOROII
217	Perplex	executable:RAV-PERPLEX
218	Phytohydra	executable:RAV-PHYTOHYDRA
219	Pollenbright Wings	executable:RAV-POLLENBRIGHT-WINGS
220	Psychic Drain	executable:RAV-PSYCHIC-DRAIN
221	Putrefy	executable:RAV-PUTREFY
222	Rally the Righteous	executable:RAV-RALLY-THE-RIGHTEOUS
223	Razia, Boros Archangel	executable:RAV-RAZIA-BOROS-ARCHANGEL
224	Razia's Purification	executable:RAV-RAZIAS-PURIFICATION
225	Savra, Queen of the Golgari	executable:RAV-SAVRA-QUEEN-OF-THE-GOLGARI
226	Searing Meditation	executable:RAV-SEARING-MEDITATION
227	Seeds of Strength	executable:RAV-SEEDS-OF-STRENGTH
228	Selesnya Evangel	executable:RAV-SELESNYA-EVANGEL
229	Selesnya Sagittars	executable:RAV-SELESNYA-SAGITTARS
230	Shambling Shell	executable:RAV-SHAMBLING-SHELL
231	Sisters of Stone Death	executable:RAV-SISTERS-OF-STONE-DEATH
232	Skyknight Legionnaire	executable:RAV-SKYKNIGHT-LEGIONNAIRE
233	Sunhome Enforcer	executable:RAV-SUNHOME-ENFORCER
234	Szadek, Lord of Secrets	executable:RAV-SZADEK
235	Thundersong Trumpeter	executable:RAV-THUNDERSONG-TRUMPETER
236	Tolsimir Wolfblood	executable:RAV-TOLSIMIR-WOLFBLOOD
237	Twisted Justice	executable:RAV-TWISTED-JUSTICE
238	Vulturous Zombie	executable:RAV-VULTUROUS-ZOMBIE
239	Watchwolf	executable:RAV-WATCHWOLF
240	Woodwraith Corrupter	executable:RAV-WOODWRAITH-CORRUPTER
241	Woodwraith Strangler	executable:RAV-WOODWRAITH-STRANGLER
242	Boros Guildmage	executable:RAV-BOROS-GUILDMAGE
243	Boros Recruit	executable:RAV-BOROS-RECRUIT
244	Centaur Safeguard	executable:RAV-CENTAUR-SAFEGUARD
245	Dimir Guildmage	executable:RAV-DIMIR-GUILDMAGE
246	Gaze of the Gorgon	executable:RAV-GAZE-OF-THE-GORGON
247	Gleancrawler	executable:RAV-GLEANCRAWLER
248	Golgari Guildmage	executable:RAV-GOLGARI-GUILDMAGE
249	Lurking Informant	executable:RAV-LURKING-INFORMANT
250	Master Warcraft	executable:RAV-MASTER-WARCRAFT
251	Privileged Position	executable:RAV-PRIVILEGED-POSITION
252	Selesnya Guildmage	executable:RAV-SELESNYA-GUILDMAGE
253	Shadow of Doubt	executable:RAV-SHADOW-OF-DOUBT
254	Bloodletter Quill	executable:RAV-BLOODLETTER-QUILL
255	Boros Signet	executable:RAV-BOROS-SIGNET
256	Bottled Cloister	executable:RAV-BOTTLED-CLOISTER
257	Cloudstone Curio	executable:RAV-CLOUDSTONE-CURIO
258	Crown of Convergence	executable:RAV-CROWN-OF-CONVERGENCE
259	Cyclopean Snare	executable:RAV-CYCLOPEAN-SNARE
260	Dimir Signet	executable:RAV-DIMIR-SIGNET
261	Glass Golem	executable:RAV-GLASS-GOLEM
262	Golgari Signet	executable:RAV-GOLGARI-SIGNET
263	Grifter's Blade	executable:RAV-GRIFTERS-BLADE
264	Junktroller	executable:RAV-JUNKTROLLER
265	Leashling	executable:RAV-LEASHLING
266	Nullstone Gargoyle	executable:RAV-NULLSTONE-GARGOYLE
267	Pariah's Shield	executable:RAV-PARIAHS-SHIELD
268	Peregrine Mask	executable:RAV-PEREGRINE-MASK
269	Plague Boiler	executable:RAV-PLAGUE-BOILER
270	Selesnya Signet	executable:RAV-SELESNYA-SIGNET
271	Spectral Searchlight	executable:RAV-SPECTRAL-SEARCHLIGHT
272	Sunforger	executable:RAV-SUNFORGER
273	Terrarion	executable:RAV-TERRARION
274	Voyager Staff	executable:RAV-VOYAGER-STAFF
275	Boros Garrison	executable:RAV-BOROS-GARRISON
276	Dimir Aqueduct	executable:RAV-DIMIR-AQUEDUCT
277	Duskmantle, House of Shadow	executable:RAV-DUSKMANTLE-HOUSE-OF-SHADOW
278	Golgari Rot Farm	executable:RAV-GOLGARI-ROT-FARM
279	Overgrown Tomb	executable:RAV-OVERGROWN-TOMB
280	Sacred Foundry	executable:RAV-SACRED-FOUNDRY
281	Selesnya Sanctuary	executable:RAV-SELESNYA-SANCTUARY
282	Sunhome, Fortress of the Legion	executable:RAV-SUNHOME-FORTRESS
283	Svogthos, the Restless Tomb	executable:RAV-SVOGTHOS-THE-RESTLESS-TOMB
284	Temple Garden	executable:RAV-TEMPLE-GARDEN
285	Vitu-Ghazi, the City-Tree	executable:RAV-VITU-GHAZI
286	Watery Grave	executable:RAV-WATERY-GRAVE
287	Plains	executable:RAV-PLAINS
288	Plains	executable:RAV-PLAINS
289	Plains	executable:RAV-PLAINS
290	Plains	executable:RAV-PLAINS
291	Island	executable:RAV-ISLAND
292	Island	executable:RAV-ISLAND
293	Island	executable:RAV-ISLAND
294	Island	executable:RAV-ISLAND
295	Swamp	executable:RAV-SWAMP
296	Swamp	executable:RAV-SWAMP
297	Swamp	executable:RAV-SWAMP
298	Swamp	executable:RAV-SWAMP
299	Mountain	executable:RAV-MOUNTAIN
300	Mountain	executable:RAV-MOUNTAIN
301	Mountain	executable:RAV-MOUNTAIN
302	Mountain	executable:RAV-MOUNTAIN
303	Forest	executable:RAV-FOREST
304	Forest	executable:RAV-FOREST
305	Forest	executable:RAV-FOREST
306	Forest	executable:RAV-FOREST
